"time","group","sim","state","value"
76,1,3,"I",0.548
77,1,3,"I",0.555
78,1,3,"I",0.552
79,1,3,"I",0.557
80,1,3,"I",0.552
1,1,3,"R",0
2,1,3,"R",0.001
3,1,3,"R",0.001
4,1,3,"R",0.002
5,1,3,"R",0.002
6,1,3,"R",0.003
7,1,3,"R",0.003
8,1,3,"R",0.002
9,1,3,"R",0.002
10,1,3,"R",0.003
11,1,3,"R",0.004
12,1,3,"R",0.004
13,1,3,"R",0.005
14,1,3,"R",0.005
15,1,3,"R",0.005
16,1,3,"R",0.005
17,1,3,"R",0.005
18,1,3,"R",0.006
19,1,3,"R",0.006
20,1,3,"R",0.005
21,1,3,"R",0.005
22,1,3,"R",0.008
23,1,3,"R",0.008
24,1,3,"R",0.007
25,1,3,"R",0.008
26,1,3,"R",0.008
27,1,3,"R",0.013
28,1,3,"R",0.015
29,1,3,"R",0.016
30,1,3,"R",0.016
31,1,3,"R",0.016
32,1,3,"R",0.026
33,1,3,"R",0.03
34,1,3,"R",0.036
35,1,3,"R",0.047
36,1,3,"R",0.056
37,1,3,"R",0.057
38,1,3,"R",0.064
39,1,3,"R",0.071
40,1,3,"R",0.069
41,1,3,"R",0.072
42,1,3,"R",0.076
43,1,3,"R",0.094
44,1,3,"R",0.106
45,1,3,"R",0.108
46,1,3,"R",0.12
47,1,3,"R",0.132
48,1,3,"R",0.137
49,1,3,"R",0.146
50,1,3,"R",0.156
51,1,3,"R",0.161
52,1,3,"R",0.17
53,1,3,"R",0.18
54,1,3,"R",0.188
55,1,3,"R",0.195
56,1,3,"R",0.217
57,1,3,"R",0.229
58,1,3,"R",0.24
59,1,3,"R",0.245
60,1,3,"R",0.255
61,1,3,"R",0.265
62,1,3,"R",0.269
63,1,3,"R",0.275
64,1,3,"R",0.273
65,1,3,"R",0.284
66,1,3,"R",0.286
67,1,3,"R",0.276
68,1,3,"R",0.273
69,1,3,"R",0.276
70,1,3,"R",0.276
71,1,3,"R",0.282
72,1,3,"R",0.278
73,1,3,"R",0.283
74,1,3,"R",0.292
75,1,3,"R",0.285
76,1,3,"R",0.276
77,1,3,"R",0.266
78,1,3,"R",0.267
79,1,3,"R",0.26
80,1,3,"R",0.259
1,1,3,"incidence",0
2,1,3,"incidence",0
3,1,3,"incidence",0
4,1,3,"incidence",0
5,1,3,"incidence",0
6,1,3,"incidence",0
7,1,3,"incidence",0
8,1,3,"incidence",0
9,1,3,"incidence",0
10,1,3,"incidence",0
11,1,3,"incidence",0
12,1,3,"incidence",0
13,1,3,"incidence",0
14,1,3,"incidence",0
15,1,3,"incidence",0
16,1,3,"incidence",0
17,1,3,"incidence",0
18,1,3,"incidence",1
19,1,3,"incidence",0
20,1,3,"incidence",1
21,1,3,"incidence",2
22,1,3,"incidence",0
23,1,3,"incidence",1
24,1,3,"incidence",0
25,1,3,"incidence",0
26,1,3,"incidence",0
27,1,3,"incidence",1
28,1,3,"incidence",0
29,1,3,"incidence",1
30,1,3,"incidence",2
31,1,3,"incidence",1
32,1,3,"incidence",2
33,1,3,"incidence",3
34,1,3,"incidence",2
35,1,3,"incidence",6
36,1,3,"incidence",2
37,1,3,"incidence",4
38,1,3,"incidence",5
39,1,3,"incidence",4
40,1,3,"incidence",5
41,1,3,"incidence",2
42,1,3,"incidence",4
43,1,3,"incidence",3
44,1,3,"incidence",6
45,1,3,"incidence",4
46,1,3,"incidence",5
47,1,3,"incidence",4
48,1,3,"incidence",0
49,1,3,"incidence",5
50,1,3,"incidence",3
51,1,3,"incidence",3
52,1,3,"incidence",3
53,1,3,"incidence",0
54,1,3,"incidence",1
55,1,3,"incidence",4
56,1,3,"incidence",1
57,1,3,"incidence",1
58,1,3,"incidence",2
59,1,3,"incidence",1
60,1,3,"incidence",0
61,1,3,"incidence",0
62,1,3,"incidence",3
63,1,3,"incidence",2
64,1,3,"incidence",0
65,1,3,"incidence",0
66,1,3,"incidence",7
67,1,3,"incidence",0
68,1,3,"incidence",1
69,1,3,"incidence",1
70,1,3,"incidence",1
71,1,3,"incidence",2
72,1,3,"incidence",2
73,1,3,"incidence",4
74,1,3,"incidence",3
75,1,3,"incidence",1
76,1,3,"incidence",0
77,1,3,"incidence",4
78,1,3,"incidence",2
79,1,3,"incidence",6
80,1,3,"incidence",1
1,1,4,"S",0.995
2,1,4,"S",0.993
3,1,4,"S",0.992
4,1,4,"S",0.989
5,1,4,"S",0.989
6,1,4,"S",0.987
7,1,4,"S",0.985
8,1,4,"S",0.985
9,1,4,"S",0.983
10,1,4,"S",0.98
11,1,4,"S",0.973
12,1,4,"S",0.966
13,1,4,"S",0.959
14,1,4,"S",0.956
